place,Count_Person,Count_Person_EducationalAttainmentBachelorsDegreeOrHigher,Median_Age_Person,Median_Income_Household,Percent_Person_WithAsthma,Percent_Person_WithHighBloodPressure
zip/21043,48525.0,21030.0,40.3,148125.0,9.4,29.0
zip/21144,37118.0,11211.0,37.7,136684.0,11.1,33.4
zip/21872,661.0,230.0,31.5,117888.0,11.2,39.3
zip/21798,2928.0,714.0,41.3,116607.0,10.2,34.2
zip/21758,4409.0,1350.0,39.0,111528.0,10.4,33.7
zip/21054,16386.0,6343.0,40.9,163825.0,10.6,32.7
zip/21057,4386.0,1622.0,41.3,145924.0,10.1,38.3
zip/21228,50492.0,18843.0,42.2,112656.0,10.4,36.4
zip/21221,43487.0,6382.0,42.4,67340.0,12.2,38.5
zip/21113,36705.0,13848.0,35.5,125639.0,10.8,30.7
zip/21607,597.0,60.0,48.0,91250.0,11.1,38.8
zip/21521,1400.0,131.0,54.1,64194.0,12.5,40.2
zip/21669,160.0,76.0,58.3,116500.0,11.0,42.6
zip/20720,25015.0,9940.0,42.4,158997.0,10.7,37.2
zip/21821,797.0,75.0,46.0,60341.0,11.4,50.3
zip/21562,3032.0,278.0,43.8,47500.0,12.1,41.8
zip/21817,4417.0,826.0,42.1,55720.0,12.0,43.7
zip/20676,3218.0,940.0,45.1,156657.0,11.3,37.3
zip/20705,28713.0,6766.0,37.2,110351.0,10.0,33.4
zip/21774,17134.0,6610.0,36.1,171103.0,9.5,26.8
zip/21244,38208.0,9059.0,36.0,85114.0,12.3,40.0
zip/20850,50353.0,25219.0,41.2,125950.0,9.1,28.5
zip/20715,26915.0,8907.0,40.8,143732.0,10.0,34.3
zip/20817,37454.0,22132.0,45.8,249332.0,8.8,29.6
zip/21409,20289.0,8310.0,42.5,147151.0,10.5,32.2
zip/21075,37363.0,14518.0,34.1,135303.0,10.4,26.9
zip/20904,58646.0,20232.0,40.6,96025.0,10.5,35.9
zip/20754,7545.0,2467.0,39.3,167371.0,10.6,35.9
zip/21087,5537.0,1890.0,52.0,129188.0,10.3,37.0
zip/21677,436.0,73.0,48.6,112578.0,11.2,45.5
zip/20855,17279.0,8507.0,41.3,149110.0,9.3,29.2
zip/20723,36866.0,14361.0,37.2,138113.0,10.2,29.2
zip/21060,39730.0,9370.0,37.7,104715.0,11.4,33.2
zip/21108,18643.0,7107.0,41.3,151324.0,10.5,32.6
zip/20906,70595.0,21058.0,41.2,97521.0,10.1,35.0
zip/21208,37276.0,13462.0,46.0,90131.0,11.1,42.4
zip/21234,66334.0,17299.0,40.5,83517.0,11.3,36.0
zip/21663,3764.0,1566.0,56.0,89775.0,10.6,42.8
zip/21061,57230.0,9809.0,35.9,87751.0,11.6,33.7
zip/20708,27593.0,7195.0,36.5,83367.0,11.0,34.7
zip/21219,9565.0,1770.0,42.7,110438.0,11.1,36.7
zip/21044,44114.0,21883.0,40.0,135057.0,10.5,32.0
zip/20707,37278.0,12349.0,37.5,107706.0,10.4,33.7
zip/21076,24268.0,9991.0,38.1,146869.0,10.4,29.6
zip/20905,19004.0,7541.0,44.8,159740.0,9.7,33.1
zip/20716,22362.0,8005.0,43.5,125034.0,10.7,37.5
