place,Count_Person,Count_Person_EducationalAttainmentBachelorsDegreeOrHigher,Median_Age_Person,Median_Income_Household,Percent_Person_WithAsthma,Percent_Person_WithHighBloodPressure
zip/21529,514.0,25.0,54.3,37240.0,12.2,40.5
zip/20606,291.0,68.0,56.5,88262.0,11.1,42.9
zip/21231,14969.0,7443.0,32.7,85254.0,11.1,23.3
zip/21902,340.0,53.0,70.2,,8.7,59.4
zip/21930,25.0,0.0,68.1,107784.0,9.5,43.0
zip/21914,810.0,152.0,46.3,66806.0,10.7,36.2
zip/21130,112.0,0.0,21.7,17336.0,12.1,36.3
zip/20625,849.0,16.0,45.8,161000.0,11.6,41.1
zip/20686,971.0,11.0,20.3,79475.0,10.9,9.8
zip/21540,89.0,7.0,44.5,81250.0,12.5,32.3
zip/20612,148.0,0.0,63.8,41118.0,10.1,47.2
zip/21251,191.0,6.0,19.5,,8.3,7.1
zip/21542,84.0,0.0,26.7,13889.0,12.3,35.7
